,City,Country,Latitude,Longitude,Current Temperature,Humidity,Cloudiness,Wind Speed,Date
53,Potanina,RU,56.32,105.81,19.0,95,100,1.56,2020-10-26 00:53:41
54,Stoneville,AU,-30.16,122.36,71.7,25,0,8.64,2020-10-26 00:53:42
55,Vel't,RU,67.1,50.36,13.5,96,40,4.04,2020-10-26 00:53:42
56,Bagdarin,RU,54.09,113.93,28.3,98,100,1.85,2020-10-26 00:53:42
57,Pahrump,US,35.97,-116.07,65.0,17,0,4.47,2020-10-26 00:53:43
58,Isachsen,CA,79.28,-97.09,5.6,93,70,4.25,2020-10-26 00:53:43
59,Nikiski,US,60.81,-151.05,36.2,93,90,13.4,2020-10-26 00:53:45
60,Departamento de Picún Leufú,AR,-39.35,-69.63,56.0,33,0,3.58,2020-10-26 00:53:45
61,Norman Wells,CA,64.46,-128.61,4.6,87,28,1.99,2020-10-26 00:53:45
62,Fort Good Hope,CA,66.38,-130.68,22.5,96,100,4.49,2020-10-26 00:53:45
63,Discovery,CA,64.44,-113.42,23.0,100,90,5.1,2020-10-26 00:53:46
64,Pine Ridge,US,42.94,-102.61,11.1,66,90,1.5,2020-10-26 00:53:47
65,Gamboa,CL,-42.45,-74.04,45.2,76,90,4.1,2020-10-26 00:53:47
66,Ross River,CA,61.12,-133.19,16.5,92,100,1.13,2020-10-26 00:53:47
67,Polyarnyye Zori,RU,67.39,32.25,25.8,97,100,3.67,2020-10-26 00:53:48
68,Ruvuma,TZ,-11.72,36.64,73.0,73,30,2.5,2020-10-26 00:53:49
69,Francke,CL,-25.92,-69.77,53.4,36,0,1.44,2020-10-26 00:53:49
70,Provincia de Antofagasta,CL,-24.52,-69.85,57.8,31,0,2.62,2020-10-26 00:53:49
71,Perho,FI,63.17,24.63,43.0,98,100,5.76,2020-10-26 00:53:50
72,Watson Lake,CA,60.38,-127.94,23.0,79,90,2.6,2020-10-26 00:53:50
73,Navonda,VU,-15.02,168.98,80.6,76,5,7.24,2020-10-26 00:53:51
74,Richibucto,CA,46.82,-64.65,39.2,70,0,7.68,2020-10-26 00:53:51
75,Entuziastov,RU,71.49,133.43,12.3,95,100,9.96,2020-10-26 00:53:52
76,Krutinka,RU,56.11,71.83,38.5,96,100,4.03,2020-10-26 00:53:52
77,Whyalla,AU,-32.89,137.71,57.2,44,90,5.1,2020-10-26 00:53:52
78,Teribërka,RU,70.37,36.12,36.9,79,100,8.63,2020-10-26 00:53:53
79,Merus,ID,2.04,109.4,81.1,84,100,3.67,2020-10-26 00:53:53
80,Uummannaq,GL,70.88,-51.42,8.5,75,80,1.65,2020-10-26 00:53:53
81,São Sebastião do Caí,BR,-29.61,-51.34,75.4,68,100,3.13,2020-10-26 00:53:54
82,Ust'-Ilimsk,RU,58.78,104.52,20.5,96,100,2.69,2020-10-26 00:53:54
83,Emita,AU,-39.41,148.51,54.0,69,100,10.53,2020-10-26 00:53:55
84,Dupuy,CA,48.64,-79.55,27.2,97,100,1.65,2020-10-26 00:53:55
85,Bahamas,BS,24.77,-77.36,80.6,88,0,3.6,2020-10-26 00:53:56
86,Aozou,TD,20.9,18.27,53.7,45,0,4.42,2020-10-26 00:53:57
87,Dingxi,CN,35.71,104.18,48.0,34,100,0.41,2020-10-26 00:53:57
88,Middlingbank,AU,-36.29,148.84,42.8,93,90,7.2,2020-10-26 00:53:58
89,Shimoni,KE,-4.85,39.3,77.6,81,65,2.54,2020-10-26 00:53:59
90,Saint Helena,SH,-16.26,-4.53,65.2,86,100,7.79,2020-10-26 00:53:59
91,Uborka,RU,44.71,134.0,43.4,69,1,1.19,2020-10-26 00:53:59
92,Daintree,AU,-16.24,145.13,86.7,38,57,2.57,2020-10-26 00:54:00
93,French Southern Territories,TF,-42.93,68.06,48.6,75,100,11.53,2020-10-26 00:54:01
94,Hollis,US,34.71,-99.84,42.2,87,90,9.3,2020-10-26 00:54:01
95,Ko Chang Tai,TH,11.65,101.68,81.3,70,77,3.44,2020-10-26 00:54:01
96,Daliburgh,GB,56.45,-9.34,51.8,80,24,15.68,2020-10-26 00:54:01
97,Pond Inlet,CA,73.63,-80.17,11.2,89,94,2.52,2020-10-26 00:54:03
98,Isachsen,CA,77.8,-106.9,7.1,94,100,7.52,2020-10-26 00:54:04
99,Madaoua,NE,14.08,6.42,82.0,15,0,3.91,2020-10-26 00:54:05
100,Ad Dilam,SA,23.49,47.19,65.8,28,0,2.9,2020-10-26 00:54:05
101,Guarda Mor,BR,-17.42,-47.2,68.0,92,22,2.17,2020-10-26 00:54:07
102,Maradi,NE,14.67,7.42,79.3,17,74,4.0,2020-10-26 00:54:07
103,Wales,US,66.51,-167.26,35.1,87,100,5.39,2020-10-26 00:54:08
104,Zimov’ye Kezhemskoye,RU,60.53,99.28,17.7,94,17,0.92,2020-10-26 00:54:08
105,Puerto Williams,CL,-55.7,-66.52,41.8,94,76,3.71,2020-10-26 00:54:09
106,Khuzdar,PK,27.11,66.33,56.0,33,0,1.86,2020-10-26 00:54:09
107,Huangshapu,CN,29.72,114.68,61.1,64,100,0.87,2020-10-26 00:54:11
108,Stanley Mission,CA,56.18,-105.46,20.7,93,86,3.24,2020-10-26 00:54:11
109,Da Lat,VN,11.83,108.16,71.4,86,70,0.48,2020-10-26 00:54:12
110,Ust'-Ilimsk,RU,58.25,101.05,21.3,95,3,2.21,2020-10-26 00:54:13
111,Krasnosel'kup,RU,65.2,82.95,4.1,93,0,4.99,2020-10-26 00:54:13
112,Preiļi Municipality,LV,56.33,26.66,44.7,94,100,3.92,2020-10-26 00:54:13
113,Beiwudu,CN,33.63,113.71,64.9,41,100,1.56,2020-10-26 00:54:14
114,Ardmore,CA,54.39,-110.46,24.8,45,75,4.1,2020-10-26 00:54:15
115,Berens Landing,CA,62.11,-120.38,24.8,62,40,1.0,2020-10-26 00:54:15
116,Charyshskoye,RU,51.35,83.71,30.1,91,100,3.04,2020-10-26 00:54:16
117,Nunavut,CA,70.11,-92.19,13.8,95,100,3.51,2020-10-26 00:54:16
118,Tsiigehtchic,CA,67.13,-131.03,16.8,97,93,6.04,2020-10-26 00:54:17
119,Khomas,NA,-23.01,17.89,67.2,41,14,1.58,2020-10-26 00:54:17
120,Rappang,ID,-3.75,119.86,85.1,69,61,2.2,2020-10-26 00:54:18
121,Aldama,MX,22.77,-97.73,79.3,64,0,0.89,2020-10-26 00:54:18
122,Shihezi,CN,43.99,86.16,29.9,92,0,0.5,2020-10-26 00:54:19
123,Padilla de Arriba,ES,42.47,-4.18,38.0,95,12,5.25,2020-10-26 00:54:19
124,Sarmizegetusa,RO,45.52,22.76,49.6,86,98,0.46,2020-10-26 00:54:20
125,Arviat,CA,60.05,-94.63,16.0,95,83,5.73,2020-10-26 00:54:20
126,Aligoundiri,NE,13.38,12.43,80.8,19,73,4.3,2020-10-26 00:54:20
127,Wager Bay,CA,65.19,-89.25,3.3,91,8,2.19,2020-10-26 00:54:21
128,Aksu-Ayuly,KZ,48.95,73.98,38.3,69,100,6.5,2020-10-26 00:54:22
129,Pickle Lake,CA,52.19,-89.23,20.3,91,97,1.92,2020-10-26 00:54:22
130,Uttarkāshi,IN,30.85,78.71,28.4,90,0,1.7,2020-10-26 00:54:23
131,Aleutians West,US,52.9,-173.68,44.3,82,90,6.36,2020-10-26 00:54:24
132,Xianshui,CN,30.32,100.89,42.7,74,74,0.4,2020-10-26 00:54:24
133,Nukuoro,FM,2.7,155.46,83.3,73,99,1.94,2020-10-26 00:54:24
134,Gialo,LY,30.08,22.43,63.3,76,0,2.57,2020-10-26 00:54:25
135,Bonfim,BR,3.22,-59.9,82.6,62,40,1.68,2020-10-26 00:54:26
136,Septimus,AU,-21.45,148.68,85.2,69,90,3.6,2020-10-26 00:54:27
137,Ponezhukay,RU,44.79,39.55,54.6,93,58,2.0,2020-10-26 00:54:27
138,Pangnirtung,CA,65.6,-68.58,11.0,96,89,5.16,2020-10-26 00:54:29
139,Juli,PE,-16.2,-69.57,46.1,66,82,5.99,2020-10-26 00:54:30
140,Erenhot,CN,43.47,112.09,40.5,59,0,9.24,2020-10-26 00:54:31
141,Ostān-e Kermānshāh,IR,34.61,46.65,48.2,18,0,0.25,2020-10-26 00:54:32
142,Dahlia,ZW,-18.57,27.23,68.9,28,0,2.95,2020-10-26 00:54:32
143,Sāngola,IN,17.15,75.37,73.4,80,41,2.66,2020-10-26 00:54:33
144,Old Crow,CA,66.43,-141.05,25.6,98,100,1.05,2020-10-26 00:54:33
145,Ulaanhudag,MN,47.56,104.3,24.4,85,0,0.99,2020-10-26 00:54:34
146,Algeria,DZ,28.11,3.73,68.8,45,100,5.09,2020-10-26 00:54:34
147,Newman,AU,-24.12,120.53,84.3,18,0,9.27,2020-10-26 00:54:34
148,Funehikimachi-funehiki,JP,37.56,140.7,58.0,76,75,1.5,2020-10-26 00:54:36
149,Mbumi,TZ,-8.01,39.36,76.4,82,0,2.85,2020-10-26 00:54:37
150,Baker Lake,CA,63.76,-94.01,3.7,95,87,2.8,2020-10-26 00:54:38
151,Terenos,BR,-20.2,-54.88,82.4,65,0,2.1,2020-10-26 00:54:39
152,Manokwari,ID,-0.5,135.25,84.8,65,1,1.4,2020-10-26 00:54:40
153,Srednekolymsk,RU,67.1,156.47,20.2,94,100,0.75,2020-10-26 00:54:40
154,Dikson,RU,73.65,84.84,18.5,97,100,6.06,2020-10-26 00:54:41
155,River Gee County,LR,5.5,-7.73,71.7,99,37,1.07,2020-10-26 00:54:41
156,Maleevsk,KZ,49.75,84.57,32.6,86,100,0.71,2020-10-26 00:54:42
157,Drovyanoy,RU,71.27,71.57,12.4,97,100,4.07,2020-10-26 00:54:42
158,Leksula,ID,-4.06,125.91,82.9,68,85,4.98,2020-10-26 00:54:43
159,Xinghe Chengguanzhen,CN,40.78,113.89,46.5,50,22,5.01,2020-10-26 00:54:44
160,Guajará Açu,BR,-9.73,-65.53,78.3,77,0,1.99,2020-10-26 00:54:45
161,Diplo,PK,23.99,69.32,79.7,57,0,4.41,2020-10-26 00:54:46
162,De Aar,ZA,-30.78,23.74,66.3,52,92,3.91,2020-10-26 00:54:46
163,Santa Monica,PH,10.37,126.04,83.2,70,100,1.17,2020-10-26 00:54:46
164,Mossamedes,AO,-14.88,11.67,67.7,84,72,4.27,2020-10-26 00:54:47
165,Boû Demgha,MR,17.56,-10.12,87.7,12,0,4.71,2020-10-26 00:54:48
166,Hechuan,CN,26.69,114.34,65.2,62,65,0.98,2020-10-26 00:54:50
167,Gyigang,CN,29.08,97.91,33.5,83,0,1.33,2020-10-26 00:54:50
168,Condamine,AU,-26.95,150.12,71.6,49,78,3.6,2020-10-26 00:54:50
169,Kuchāman,IN,27.25,74.72,67.0,31,0,2.25,2020-10-26 00:54:50
170,Mungret,IE,52.64,-8.71,48.8,93,75,8.7,2020-10-26 00:54:51
171,Watsa,CD,2.6,29.25,65.6,99,100,0.86,2020-10-26 00:54:52
172,Palana,RU,59.11,160.86,34.7,87,100,3.35,2020-10-26 00:54:52
173,Nagapattinam,IN,10.75,80.02,82.2,73,100,3.13,2020-10-26 00:54:52
174,Cardonal,MX,20.59,-99.08,58.8,68,1,1.48,2020-10-26 00:54:53
175,Gjoa Haven,CA,69.06,-96.21,19.4,92,90,12.9,2020-10-26 00:54:53
176,Bissett,CA,50.85,-95.96,24.0,94,100,1.79,2020-10-26 00:54:55
177,Eastpoint,US,29.5,-84.71,73.4,94,40,2.1,2020-10-26 00:54:56
178,Special Region of Papua,ID,-4.17,137.29,53.4,100,63,1.89,2020-10-26 00:54:58
179,Telén,AR,-36.45,-65.3,56.6,36,0,2.6,2020-10-26 00:54:59
180,Durania,CO,2.0,-70.44,74.8,94,0,0.67,2020-10-26 00:54:59
181,Cerro de Ortega,MX,17.55,-104.35,84.1,75,40,5.21,2020-10-26 00:54:59
182,Pischlach,DE,47.75,11.04,41.0,93,100,2.6,2020-10-26 00:55:00
183,Aripuanã,BR,-8.68,-60.18,78.0,64,0,0.41,2020-10-26 00:55:02
184,Paind do Araguaia,BR,-11.47,-51.29,74.8,71,98,0.57,2020-10-26 00:55:03
185,Riberalta,BO,-11.38,-66.54,78.5,82,34,1.57,2020-10-26 00:55:04
186,Ezbet el-Burg,EG,32.38,32.01,77.6,66,0,3.5,2020-10-26 00:55:05
187,Jiwani,PK,23.75,61.36,79.5,64,0,5.91,2020-10-26 00:55:06
188,Ranua,FI,65.73,26.57,34.0,94,100,6.62,2020-10-26 00:55:06
189,Borgo Casale,IT,41.21,18.26,55.4,93,0,2.6,2020-10-26 00:55:06
190,Baie de Henne,HT,19.63,-73.22,82.7,73,100,1.85,2020-10-26 00:55:08
191,Svetlyy,RU,56.97,85.62,31.0,90,100,3.54,2020-10-26 00:55:08
192,Russellville,US,34.47,-87.75,62.2,93,90,2.08,2020-10-26 00:55:09
193,Senillosa,AR,-39.76,-68.32,53.6,41,0,5.88,2020-10-26 00:55:10
194,Fereydūnkenār,IR,37.69,52.31,71.8,59,92,3.76,2020-10-26 00:55:11
195,Clyde River,CA,70.91,-66.5,26.3,93,99,2.91,2020-10-26 00:55:11
196,Coober Pedy,AU,-29.35,133.34,63.0,34,0,4.06,2020-10-26 00:55:11
197,Caledonia,US,43.49,-91.31,29.6,100,90,2.1,2020-10-26 00:55:12
198,Ola,RU,59.29,151.9,37.8,78,100,9.55,2020-10-26 00:55:12
199,Zahedan,IR,30.05,60.52,40.7,65,0,1.22,2020-10-26 00:55:13
200,Irtyshskiy,RU,58.33,67.96,32.7,97,100,0.92,2020-10-26 00:55:15
201,Akhmīm,EG,26.81,32.07,66.2,52,0,2.6,2020-10-26 00:55:16
202,Lavia,FI,61.67,22.37,50.9,87,90,4.6,2020-10-26 00:55:17
203,Munda,SB,-7.51,158.0,83.8,69,56,2.42,2020-10-26 00:55:17
204,Türkmenbaşy,TM,38.99,52.33,68.4,66,100,5.1,2020-10-26 00:55:18
205,Ibiaí,BR,-16.46,-45.45,72.0,88,24,1.37,2020-10-26 00:55:19
206,Leran,ID,-6.52,111.38,82.2,77,100,3.4,2020-10-26 00:55:19
207,Miðgarðar,IS,66.89,-16.92,38.8,95,100,9.52,2020-10-26 00:55:19
208,Aībak,AF,36.33,67.65,48.1,42,5,2.6,2020-10-26 00:55:20
209,Princeville,US,22.89,-160.2,80.7,69,12,2.4,2020-10-26 00:55:20
210,Koslan,RU,64.08,50.0,18.9,97,19,1.78,2020-10-26 00:55:21
211,Winnett,US,46.71,-108.25,5.3,77,1,3.34,2020-10-26 00:55:21
212,Nordland,NO,67.38,13.93,39.6,93,75,6.7,2020-10-26 00:55:22
213,Ataka-shimmachi,JP,36.8,136.03,60.8,72,40,1.5,2020-10-26 00:55:22
214,Sarongan,ID,-9.4,113.42,81.8,80,87,5.33,2020-10-26 00:55:22
215,Brodokalmak,RU,55.84,62.59,36.8,95,100,4.81,2020-10-26 00:55:23
216,Cáceres,BR,-16.57,-57.24,81.5,62,0,1.66,2020-10-26 00:55:23
217,Zhigansk,RU,66.53,124.72,2.0,93,98,2.2,2020-10-26 00:55:24
218,Mórrope,PE,-6.79,-81.01,62.9,91,8,6.45,2020-10-26 00:55:24
219,Tokār,SD,17.81,37.48,79.7,76,0,8.32,2020-10-26 00:55:26
220,Rivière-Rouge,CA,46.77,-74.78,29.7,82,85,0.99,2020-10-26 00:55:28
221,Guizengeard,FR,45.34,-0.01,49.4,93,0,2.6,2020-10-26 00:55:29
222,Port Saint John's,ZA,-31.85,29.92,68.9,75,100,4.05,2020-10-26 00:55:29
223,Anna Regina,GY,8.34,-58.53,83.3,74,92,7.06,2020-10-26 00:55:29
224,Taksimo,RU,55.92,114.41,11.7,100,100,4.42,2020-10-26 00:55:30
225,Ternovka,UA,48.53,36.21,49.7,75,100,3.76,2020-10-26 00:55:31
226,Naghadeh,IR,37.18,45.38,49.1,37,75,3.1,2020-10-26 00:55:31
227,Maloye Ganyushkino,KZ,47.06,48.89,48.8,69,0,5.48,2020-10-26 00:55:32
228,Strugi Krasnye,RU,58.31,28.79,42.8,93,6,2.0,2020-10-26 00:55:32
229,Myeik,MM,12.62,97.85,82.1,70,6,0.67,2020-10-26 00:55:32
230,Beeghly Heights,US,30.45,-81.6,75.1,94,40,1.5,2020-10-26 00:55:33
231,Zyryanka,RU,64.7,150.29,23.4,96,1,1.06,2020-10-26 00:55:33
232,Naujaat,CA,67.09,-85.66,8.8,95,100,3.62,2020-10-26 00:55:33
233,Daweishan,CN,28.47,113.93,62.2,63,100,0.98,2020-10-26 00:55:34
234,Cachimbo,BR,-9.02,-55.33,75.4,68,100,0.16,2020-10-26 00:55:34
235,Departamento de Presidente Hayes,PY,-24.01,-59.36,90.3,42,0,4.95,2020-10-26 00:55:35
236,Umaoya,ID,-2.9,125.34,82.9,75,3,5.78,2020-10-26 00:55:35
237,Sandy Point,AU,-39.32,146.24,53.9,67,19,11.52,2020-10-26 00:55:36
238,Port-Gentil,GA,-0.07,8.27,79.0,83,100,5.83,2020-10-26 00:55:36
239,Tegul'det,RU,58.32,87.41,24.7,98,100,3.78,2020-10-26 00:55:37
240,Maimará,AR,-23.86,-65.9,53.7,32,0,5.31,2020-10-26 00:55:38
241,Angetu,ET,6.04,39.92,61.5,96,42,1.12,2020-10-26 00:55:38
242,Shintō,JP,25.14,131.38,75.9,67,69,7.14,2020-10-26 00:55:40
243,Tainan,TW,22.91,119.77,78.8,69,40,1.5,2020-10-26 00:55:40
244,Rio do Salto,BR,-28.71,-49.72,63.6,98,70,0.35,2020-10-26 00:55:42
245,Provincia del Pastaza,EC,-2.02,-76.83,77.6,77,4,0.15,2020-10-26 00:55:43
246,Bo`ston Shahri,UZ,42.29,60.76,51.3,44,100,5.47,2020-10-26 00:55:44
247,Shijiacun,CN,31.86,106.68,61.8,70,95,0.5,2020-10-26 00:55:44
248,Graafwater,ZA,-32.32,18.27,56.7,86,0,4.11,2020-10-26 00:55:44
249,Makarov,RU,48.16,144.24,46.5,73,88,12.4,2020-10-26 00:55:44
250,Zelenoborsk,RU,61.08,65.01,25.4,98,100,2.44,2020-10-26 00:55:45
251,Curry,US,35.05,-103.04,33.3,80,90,8.2,2020-10-26 00:55:45
252,Aleutians West,US,51.91,-174.4,42.8,75,90,5.7,2020-10-26 00:55:46
253,Phanom,TH,9.09,98.68,78.8,100,40,0.5,2020-10-26 00:55:47
254,Chamnanga,ZW,-21.77,29.51,74.2,37,0,4.11,2020-10-26 00:55:47
255,Mayo,CA,64.85,-134.91,5.7,96,100,3.93,2020-10-26 00:55:48
256,Colville Lake,CA,68.01,-126.99,16.3,97,100,6.98,2020-10-26 00:55:48
257,Seymour,US,35.8,-83.71,64.4,93,90,0.9,2020-10-26 00:55:48
258,Hinton,US,35.4,-98.43,38.2,93,90,7.7,2020-10-26 00:55:49
259,Alto Parnaíba,BR,-8.75,-45.46,77.6,71,100,0.83,2020-10-26 00:55:49
260,Talas,KG,42.58,72.39,37.4,66,0,2.07,2020-10-26 00:55:50
261,Langfang,CN,39.43,116.8,57.1,66,13,1.0,2020-10-26 00:55:50
262,Atammik,GL,64.95,-52.59,30.3,83,100,5.53,2020-10-26 00:55:51
263,Chisasibi,CA,53.66,-78.68,24.8,85,75,3.1,2020-10-26 00:55:51
264,Svetlyy,RU,50.54,62.17,51.9,88,100,10.13,2020-10-26 00:55:52
265,Swan River,CA,52.15,-101.26,17.8,93,56,4.07,2020-10-26 00:55:54
266,Carbonita,BR,-17.46,-42.88,69.1,89,0,1.45,2020-10-26 00:55:54
267,Garissa,KE,-0.73,39.79,76.5,77,6,5.91,2020-10-26 00:55:54
268,Kushoky,KZ,50.64,73.36,40.6,70,100,9.24,2020-10-26 00:55:55
269,Kozyrëvsk,RU,55.87,159.37,43.5,71,85,4.46,2020-10-26 00:55:56
270,Ciudad Insurgentes,MX,24.94,-112.72,73.0,83,0,9.38,2020-10-26 00:55:56
271,Don Luan,VN,11.49,106.89,77.6,86,66,1.28,2020-10-26 00:55:56
272,Baykalovsk,RU,71.0,84.08,-3.1,93,61,1.6,2020-10-26 00:55:56
273,Hiroo,JP,41.18,144.2,56.0,63,0,7.2,2020-10-26 00:55:57
274,Luanda,AO,-8.81,12.44,75.9,85,100,4.07,2020-10-26 00:55:58
275,Majadas,CL,-27.54,-72.36,56.8,81,0,12.46,2020-10-26 00:55:59
276,Duck Village,US,59.0,-152.83,42.4,91,100,13.42,2020-10-26 00:56:00
277,San,ML,13.21,-5.37,79.8,17,54,2.95,2020-10-26 00:56:01
278,Ust'-Karsk,RU,52.56,120.76,35.0,83,100,1.01,2020-10-26 00:56:02
279,Kingman,US,37.74,-98.16,32.0,70,90,5.1,2020-10-26 00:56:02
280,Colonia San Pedro,AR,-37.94,-62.15,49.0,84,62,0.89,2020-10-26 00:56:02
281,Qaraton,KZ,46.71,53.1,51.0,65,0,9.94,2020-10-26 00:56:03
282,Evjen,NO,68.5,12.99,41.0,86,75,4.6,2020-10-26 00:56:05
283,Rumung Municipality,FM,10.73,137.94,84.2,69,100,2.68,2020-10-26 00:56:06
284,Kaktovik,US,69.85,-144.9,15.8,92,90,1.5,2020-10-26 00:56:07
285,Rādhanpur,IN,23.77,71.22,79.4,51,0,1.75,2020-10-26 00:56:09
286,Alandroal,PT,38.66,-7.46,51.0,92,100,3.13,2020-10-26 00:56:10
287,Labasa,FJ,-15.17,178.92,79.6,78,23,5.25,2020-10-26 00:56:12
288,Shintō,JP,26.05,130.18,75.7,61,84,6.17,2020-10-26 00:56:12
289,Feld am See,AT,46.78,13.74,52.1,93,75,0.5,2020-10-26 00:56:13
290,Borodinskaya,RU,46.21,38.22,58.1,74,26,7.8,2020-10-26 00:56:13
291,Davila,PH,18.86,119.76,82.7,82,95,15.11,2020-10-26 00:56:14
292,Lasengmiao,CN,39.36,106.89,45.4,42,0,6.27,2020-10-26 00:56:15
293,Chute-aux-Outardes,CA,49.78,-69.13,24.9,87,3,2.07,2020-10-26 00:56:15
294,Chinchipe,EC,-2.48,-81.91,66.6,88,92,6.03,2020-10-26 00:56:15
295,Horiult,MN,45.13,100.72,33.3,64,0,1.44,2020-10-26 00:56:16
296,Mayumba,GA,-4.59,10.41,77.6,84,100,5.61,2020-10-26 00:56:16
297,Loyada,DJ,11.46,43.71,82.4,65,40,5.28,2020-10-26 00:56:18
298,Taksimo,RU,56.45,114.45,16.4,98,100,4.97,2020-10-26 00:56:19
299,La Cuesta,ES,29.55,-17.43,69.8,71,61,7.26,2020-10-26 00:56:20
300,La Plaine,DM,15.39,-60.37,82.6,77,2,10.02,2020-10-26 00:56:20
301,Arctic Village,US,68.21,-148.25,8.4,90,1,0.88,2020-10-26 00:56:21
302,Leilani Estates,US,18.6,-154.15,79.2,75,100,7.72,2020-10-26 00:56:21
303,Safende,CV,15.0,-26.87,81.0,75,28,9.44,2020-10-26 00:56:22
304,Itaituba,BR,-5.16,-55.05,74.7,83,24,0.67,2020-10-26 00:56:23
